Day ,Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles,Measles,Cholera,Cholera,Ebola,Swine Flu,Meningitis,MERS
1,0,0,59,0,0,0,0,0,0,20,0,0,0
2,1,0,60,0,0,0,4,1,0,26,0,0,0
3,5,0,77,0,1,0,7,2,0,33,1,2,0
4,12,0,77,0,1,1,11,2,0,34,2,3,0
5,21,0,77,0,2,1,15,3,0,34,4,6,0
6,33,0,77,0,2,1,19,4,0,35,6,9,0
7,47,0,77,0,3,2,22,5,0,36,8,13,0
8,64,0,82,0,4,3,26,6,0,37,11,18,0
9,84,0,88,0,4,4,30,6,0,38,14,24,0
10,106,0,90,0,9,5,34,7,1,39,18,30,0
11,131,1,93,0,10,6,37,8,1,40,22,37,0
12,159,1,96,0,10,7,41,9,1,41,27,45,0
13,189,1,99,0,11,8,45,10,2,43,32,53,0
14,222,1,102,0,14,10,48,10,2,45,37,62,0
15,257,1,106,0,17,11,52,11,2,46,43,72,0
16,295,2,110,0,17,13,56,12,2,48,50,82,1
17,336,2,115,0,49,15,60,13,3,50,56,93,1
18,379,2,117,0,53,17,63,13,3,53,64,105,1
19,425,2,120,0,53,19,67,14,9,56,71,117,1
20,474,3,123,0,54,21,71,15,15,59,79,130,1
21,525,6,126,0,56,23,75,16,21,62,88,144,1
22,579,9,129,0,58,26,78,17,27,66,97,158,1
23,635,17,132,0,62,28,82,17,33,69,107,172,1
24,694,25,135,0,78,31,86,18,39,72,116,187,1
25,756,41,136,0,79,33,89,19,45,74,127,203,1
26,820,56,138,0,84,36,93,20,47,75,138,219,1
27,887,80,140,0,89,39,97,21,48,76,149,235,1
28,957,106,142,1,93,42,101,21,48,76,160,252,1
29,1029,132,144,1,98,45,104,22,49,77,173,269,1
30,1104,170,147,2,103,49,108,23,50,77,185,287,1
31,1181,213,148,2,106,52,112,23,50,78,198,305,1
32,1261,259,149,3,111,56,115,24,51,80,212,323,1
33,1344,304,151,3,116,59,119,24,52,82,225,342,1
34,1440,362,152,4,119,63,123,25,53,83,240,361,1
35,1534,426,154,4,131,67,127,25,54,85,254,380,1
36,1626,492,155,4,144,71,130,26,55,86,270,399,1
37,1716,565,157,5,154,75,134,27,56,88,285,419,1
38,1804,638,158,5,159,79,138,27,56,89,301,439,1
39,1891,725,160,6,165,84,142,28,57,90,318,459,1
40,1975,813,162,6,182,88,145,28,58,91,335,479,1
41,2057,910,164,7,182,93,149,29,59,91,352,499,1
42,2138,1018,166,7,199,97,153,30,60,91,370,520,1
43,2216,1115,166,9,217,102,156,30,61,92,388,540,1
44,2293,1261,166,15,229,107,160,31,62,92,407,560,1
45,2367,1383,166,25,251,112,164,31,63,92,446,580,1
46,2440,1526,166,39,263,117,168,32,64,94,484,601,1
47,2510,1669,167,57,274,122,171,32,65,97,523,621,1
48,2578,1775,167,79,293,128,175,33,66,97,561,641,1
49,2644,1873,167,106,307,133,179,34,67,98,600,661,1
50,2708,2009,167,136,321,139,183,34,68,98,650,681,1
51,2770,2126,168,170,353,145,186,35,70,99,700,701,1
52,2830,2247,169,208,372,151,190,35,72,99,737,720,1
53,2888,2360,171,251,391,156,194,36,74,100,774,739,1
54,2943,2460,173,297,417,163,197,36,76,100,812,758,1
55,2996,2618,174,347,435,169,201,37,78,100,857,777,1
56,3047,2699,176,401,448,175,205,38,80,101,903,795,1
57,3095,2763,178,460,461,181,209,38,82,101,948,813,1
58,3141,2800,179,522,478,188,212,39,83,102,993,831,1
59,3185,2858,181,589,495,195,216,39,84,102,1039,848,1
60,3226,2923,183,659,506,201,220,40,85,103,1084,865,1
61,3265,2977,184,734,514,208,224,40,86,104,1129,881,1
62,3301,3050,185,812,526,215,227,41,87,105,1174,897,1
63,3334,3117,186,895,539,222,231,42,88,106,1220,913,1
64,3365,3202,187,955,552,230,235,42,89,108,1265,928,1
65,3393,3285,200,967,573,237,238,43,90,111,1310,942,1
66,3419,3387,201,1028,587,244,242,46,90,113,1356,956,1
67,3441,3494,203,1040,598,252,246,50,91,114,1401,970,1
68,3460,3599,204,1040,611,260,250,54,91,115,1441,983,1
69,3476,3827,206,1070,623,268,253,57,92,119,1481,995,1
70,3488,4025,208,1100,633,276,257,61,92,123,1521,1007,1
71,3496,4296,215,1112,643,284,261,64,93,127,1561,1018,1
72,3500,4628,223,1148,662,292,264,86,93,131,1601,1028,1
73,3513,4981,231,1173,666,300,268,107,93,135,1641,1038,1
74,3526,5429,235,1197,682,308,272,128,94,136,1681,1047,1
75,3539,5833,239,1261,689,317,276,171,94,138,1721,1055,1
76,3551,6519,244,1326,696,326,279,193,94,139,1761,1063,1
77,3564,7161,248,1390,710,334,283,257,95,142,1801,1070,1
78,3577,7978,253,1402,725,343,287,278,95,146,1841,1076,1
79,3590,8951,270,1414,735,352,291,300,95,150,1868,1082,1
80,3603,10030,279,1463,745,361,294,321,96,153,1895,1087,1
81,3616,11386,289,1511,750,370,298,321,96,154,1924,1091,1
82,3629,13011,298,1567,754,380,302,343,96,155,1950,1094,1
83,3642,14640,308,1624,764,389,305,343,97,158,1973,1097,1
84,3654,16514,317,1680,767,399,309,343,97,161,1992,1098,1
85,3667,18895,327,1692,770,408,313,364,97,164,2007,1100,1
86,3680,21283,337,1704,772,418,317,364,97,167,2019,1100,1
87,3693,24074,337,1729,772,428,320,364,97,170,2028,1100,1
88,3706,27345,337,1753,775,438,324,385,98,172,2033,1100,1
89,3719,30863,337,1827,779,448,328,385,98,174,2035,1100,1
90,3732,34067,337,1908,780,458,332,385,98,176,2035,1100,1
91,3745,37776,337,1994,782,469,335,428,98,179,2035,1100,1
92,3757,42313,338,2087,784,479,339,471,98,181,2035,1100,1
93,3770,47203,354,2185,789,490,343,514,98,184,2035,1100,1
94,3783,53182,370,2289,789,501,346,557,99,186,2035,1100,1
95,3796,58897,386,2400,790,511,350,557,99,186,2035,1100,1
96,3809,64696,402,2516,792,522,354,578,99,186,2035,1100,1
97,3822,69433,418,2638,794,533,358,578,99,190,2035,1100,1
98,3835,74663,434,2766,796,544,361,599,99,194,2035,1100,1
99,3848,82046,450,2900,799,556,365,599,99,197,2035,1100,1
100,3860,88460,467,3040,799,567,369,621,99,201,2035,1100,1
101,3873,95693,469,3186,801,579,373,706,99,205,2035,1100,1
102,3886,102688,472,3338,804,590,376,728,99,207,2035,1100,1
103,3899,108780,475,3496,804,602,380,749,99,209,2035,1100,1
104,3957,114197,478,3660,804,614,384,771,99,210,2035,1100,1
105,4015,119618,481,3830,804,626,387,792,99,211,2035,1100,1
106,4073,130379,518,4006,805,638,391,813,99,212,2035,1100,1
107,4131,138474,521,4188,807,650,395,878,99,213,2035,1100,1
108,4145,145470,525,4375,808,663,399,899,99,214,2035,1100,1
109,4159,153614,528,4569,809,675,402,920,99,215,2035,1100,1
110,4173,160047,532,4769,810,688,406,942,100,215,2035,1100,1
111,4186,165031,535,4974,810,700,410,985,100,216,2035,1100,1
112,4200,170397,539,5186,810,713,413,1049,100,216,2035,1100,1
113,4214,177459,570,5409,811,726,417,1070,100,217,2035,1100,1
